index,PID,Tg
987,P034239,151
988,P432493,97
989,P433825,152
990,P372245,25
991,P342286,34.4
992,P460241,22.85
993,P342079,77
994,P372410,50
995,P370373,272.5
996,P390312,50
997,P433840,137
998,P174328,-110.85
999,P374050,141.8
1000,P433848,256
1001,P392126,32.5
1002,P134416,210
1003,P372546,37
1004,P342456,95
1005,P342282,105
1006,P342157,82.175
1007,P170001,45
1008,P432349,225
1009,P372556,100.6
1010,P084366,198
1011,P160062,364.85
1012,P390045,202
1013,P402418,202.1
1014,P070477,140
1015,P402411,120
1016,P400353,100
1017,P074448,155
1018,P130025,145
1019,P130127,310
1020,P422058,148
1021,P380102,30
1022,P030163,60
1023,P510055,202
1024,P372154,142
1025,P372387,281
1026,P342264,44.425
1027,P432691,296
1028,P432066,288
1029,P433090,268
1030,P434084,126
1031,P340009,35
1032,P030166,18.99291667
1033,P084393,107
1035,P200010,108
1036,P372401,68
1037,P462580,131
1038,P210018,185
1039,P090144,237
1040,P342086,147
1041,P070421,110
1042,P470078,60
1043,P070716,33
1044,P402172,239
1045,P342041,209.425
1046,P074469,232
1047,P432946,67.85
1048,P322169,112
1049,P330115,19.6
1050,P432789,305
1051,P430411,254
1052,P433816,210
1053,P460179,-47.5
1054,P430383,202
1055,P372320,260
1056,P430320,258
1057,P373871,136
1058,P080144,287.85
1059,P373597,130
1060,P094584,52.8
1061,P402227,51.5
1062,P040183,-50
1063,P332168,139.85
1064,P373664,39.13333333
1065,P370452,312.925
1066,P100025,42.65263158
1067,P462283,78
1068,P432407,221
1069,P342136,64
1070,P392773,37.9
1071,P430240,237
1072,P070167,26
1073,P370106,6.5
1074,P070388,211
1075,P370625,263
1076,P432462,170
1077,P044346,182
1078,P074453,167
1079,P090025,-55.83
1080,P400223,120
1081,P372676,181
1082,P373195,78.5
1083,P392159,40.33333333
1084,P090090,-46.15
1085,P040024,7.5
1086,P433641,356
1087,P100817,319
1088,P390013,243
1089,P150002,160
1090,P100018,48
1091,P372090,190
1092,P372664,-35
1093,P372514,275.5
1094,P392112,21.33333333
1095,P472173,23.4
1096,P020149,104
1097,P372806,245
1098,P210009,25
1099,P090003,-10.18611111
1100,P472024,-69
1101,P342527,90.5
1102,P433805,138
1103,P432024,280
1104,P374043,193
1105,P372863,64
1106,P432906,292
1107,P402213,115
1108,P373350,120
1109,P432262,303.5
1110,P430426,373
1111,P372196,248
1112,P432526,150
1113,P373975,34
1114,P130038,259
1115,P372728,-106
1116,P030091,9
1117,P040247,25
1118,P372361,117
1119,P402377,315
1120,P342717,76.85
1121,P430155,312
1122,P090459,-6
1123,P372252,52
1124,P390342,-71.5
1125,P392731,245
1126,P402439,156.3
1127,P433473,195
1128,P074246,230
1129,P373944,136.5
1130,P372415,51
1131,P020002,126.5571429
1132,P372153,180
1133,P040038,-38
1134,P070467,154.8692308
1135,P372589,156
1136,P432810,244
1137,P100816,308
1138,P040152,-64.575
1139,P080136,495
1140,P100060,139.3333333
1141,P432497,276
1142,P370630,330
1143,P140012,122
1144,P433094,225
1145,P074312,218.5
1146,P180006,-104
1147,P433125,270
1148,P400356,112
1149,P150001,15.21666667
1150,P342141,51.85
1151,P390219,102
1152,P462558,269
1153,P432466,57.21
1154,P100037,120
1155,P070352,296.3642857
1156,P462397,134
1157,P392125,43
1158,P370623,252
1159,P342345,40
1160,P452060,97
1161,P373995,56
1162,P433308,245
1163,P433014,226
1164,P332187,213
1165,P433671,300.5
1166,P400054,80
1167,P430085,242
1168,P342353,114
1169,P370111,93
1170,P090577,239
1172,P170082,10
1173,P150043,303.3333333
1174,P372124,244
1175,P372375,58
1176,P372942,16
1177,P342044,202.425
1178,P392718,252
1179,P433736,226.3
1180,P312007,-69.15
1181,P370805,262
1182,P070651,3
1183,P210022,80
1184,P164459,317
1185,P030145,50
1186,P340027,97.5
1187,P402037,215
1188,P462541,165
1189,P370470,303
1190,P472196,61.3
1191,P372297,220
1192,P500027,141
1193,P462282,147
1194,P050039,232.5
1195,P074441,165
1196,P104342,135
1197,P040308,-2
1198,P380103,-5
1199,P130105,362.925
1200,P433465,262
1201,P074475,353
1202,P040297,-15
1203,P040186,-59
1204,P433053,275
1205,P030134,65
1206,P074542,150
1207,P402345,51
1208,P472310,-129.4833333
1209,P373596,115
1210,P430142,315
1211,P370044,130
1212,P340119,78
1213,P372878,27.8
1214,P100013,55
1215,P460013,275
1216,P370602,243
1217,P040039,-22
1218,P100048,55
1219,P070645,382
1220,P433177,315
1221,P400355,113
1222,P432601,227
1223,P392100,87
1224,P050016,158.5
1225,P460129,-81
1226,P433864,251
1227,P472125,39
1228,P070417,147.5
1229,P382309,0.6
1230,P190003,162.3125
1231,P433330,227.1
1232,P342483,182
1233,P442014,209
1234,P332014,200
1235,P382211,252
1236,P372318,215
1237,P462486,203
1238,P433692,369
1239,P030124,54
1240,P512227,171
1241,P100016,54
1242,P372928,36.85
1243,P433814,287
1244,P430073,132
1245,P200011,119
1246,P433021,263.5
1247,P432376,349.85
1248,P034424,169.0171429
1249,P070258,-9.691666667
1250,P402186,234
1251,P372091,253
1252,P422002,55
1253,P040061,-72
1254,P130229,327.7928571
1255,P322051,147
1256,P470121,-40
1257,P372312,140
1258,P170003,6.5
1259,P390403,214
1260,P090141,-38
1261,P472166,33
1262,P070471,170
1263,P402471,100.3333333
1264,P372553,208
1265,P433976,264
1266,P374210,279
1267,P390445,167
1268,P402486,68
1269,P373764,145
1270,P373121,86
1271,P070057,-50.05
1272,P130312,296
1273,P332296,12.56666667
1274,P332309,298
1275,P434085,232
1277,P210017,235
1278,P372204,41.6
1279,P373710,76.75
1280,P430423,373
1281,P392534,60
1282,P110239,17
1283,P120023,49
1284,P373482,167
1285,P392204,82
1286,P432779,251
1287,P372603,190.15
1288,P432023,353
1289,P452001,130
1290,P100047,49
1291,P342451,35
1292,P020024,92
1293,P380093,21
1294,P430254,298
1295,P390377,93
1296,P322094,21
1297,P400104,308
1298,P433638,367
1299,P472023,-125.15
1300,P432463,340
1301,P110033,58
1302,P130026,98
1303,P370366,235
1304,P433379,181
1305,P094598,-40
1306,P170033,-65.296
1307,P340093,33.85
1308,P392155,45.33333333
1309,P433766,312
1310,P462197,190
1311,P180016,-32.7
1312,P433183,315
1313,P373250,86.33333333
1314,P430075,89
1315,P400244,203
1316,P452046,-2
1317,P370389,119
1318,P372158,147
1319,P433355,248
1320,P373941,139.6
1321,P440019,100
1322,P100050,236
1323,P370018,113
1324,P342097,21
1325,P030196,0
1326,P074470,243
1327,P432403,207
1328,P372592,214
1329,P200001,117.425
1330,P400323,89
1331,P433162,300
1332,P332078,11.5
1333,P210042,76.95
1334,P434068,325.3333333
1335,P340129,58.6
1336,P370654,10.8
1337,P030049,52.4
1338,P452019,21
1339,P370073,169
1340,P372074,265.5
1341,P020119,217
1342,P370730,190
1343,P040188,108
1344,P432517,125
1345,P510049,163
1346,P373158,37
1347,P370396,133
1348,P340118,158
1349,P382441,155
1350,P382185,93
1351,P360026,0.85
1352,P370652,49.22857143
1353,P433731,207.8
1354,P373274,254
1355,P170077,-57.5
1356,P432040,104
1357,P462362,170
1358,P433576,242
1359,P392096,91
1360,P372833,223
1361,P322158,122
1362,P060013,122
1363,P430488,190
1364,P372173,25
1365,P432752,276
1366,P070585,125
1367,P020150,102.6818182
1368,P332174,46.85
1369,P370429,186
1370,P433163,280
1371,P462425,32.9
1372,P370184,127
1373,P090413,266.85
1374,P100066,105
1375,P020098,102
1376,P342455,261
1377,P070079,170.5541667
1378,P373870,171
1379,P373184,151.85
1380,P432425,258
1381,P332127,98.6
1382,P433310,328
1383,P110042,39
1384,P370178,96
1385,P372366,251
1386,P460146,32.7
1387,P450010,196
1388,P370807,329
1389,P332079,2
1390,P373637,65
1391,P402370,312
1392,P342429,112
1393,P372216,34
1394,P373375,146
1395,P432143,262
1396,P110089,94
1397,P150028,212
1398,P402149,187.5
1399,P433588,372
1400,P332366,148
1401,P044351,45
1402,P090140,-15.5
1403,P432354,266
1404,P510012,108
1405,P390251,107.8
1406,P373018,225
1407,P432243,170.8
1408,P460141,202
1409,P462086,30.6
1410,P392544,44
1411,P382227,-4.3
1412,P130035,186
1413,P400115,-57
1414,P432107,315
1415,P433174,323.5
1416,P434038,175
1417,P070627,164.5
1418,P433806,134
1419,P373547,176.5
1420,P382238,116.85
1421,P400137,285
1422,P044521,66
1423,P030117,25
1424,P380091,52
1425,P412228,171
1426,P433175,353
1427,P520026,87.35
1428,P332087,61
1429,P070425,15.33333333
1430,P090479,68
1431,P430109,287
1432,P210060,110
1433,P400321,100
1434,P472124,28
1435,P390228,130
1436,P373150,198
1437,P373247,175
1438,P450006,283
1439,P402279,108
1440,P433699,201
1441,P070470,200
1442,P472097,9.85
1443,P433272,211
1444,P180021,-40
1445,P433847,266
1446,P433077,164
1447,P432777,230
1448,P432187,213
1449,P100017,50
1450,P460191,-29
1451,P433088,278
1452,P382257,55.3
1453,P164496,94
1454,P070326,-38.075
1455,P120006,62
1456,P342489,55
1457,P400136,321
1458,P433841,305
1459,P370183,144
1460,P433535,281
1461,P040283,-68
1462,P370678,138
1463,P440009,244
1464,P472149,72.08333333
1465,P372810,19.9
1466,P472291,4.5
1467,P100463,80
1468,P432167,172
1469,P430367,235
1470,P382306,-10
1471,P342208,98.14285714
1472,P374155,241
1473,P432291,227
1474,P432905,237
1475,P372246,31
1476,P180042,-25.075
1477,P460217,13.3
1478,P382101,19
1479,P382371,231
1480,P322220,108
1481,P422003,52
1482,P432352,311
1483,P430311,192
1484,P070395,138
1485,P070625,14
1486,P104388,167
1487,P010055,190
1488,P370531,98
1489,P462555,332
1490,P433226,237
1491,P322003,161.9
1492,P433294,226.9
1493,P432293,418
1494,P402092,280
1495,P373238,165
1496,P390427,140
1497,P134425,320.7722222
1498,P433185,270
1499,P432360,246
1500,P382136,72
1501,P160058,341.85
1502,P432290,234
1503,P372132,260
1504,P320013,270
1505,P450022,253
1506,P372352,140
1507,P430011,290
1508,P342067,159.85
1509,P430354,31
1510,P432774,304
1511,P392193,0
1512,P392133,12.5
1513,P370423,249
1514,P433074,165
1515,P373444,48
1516,P372268,155.6666667
1517,P014525,25
1518,P392070,26.2
1519,P370684,242.2
1520,P090552,17
1521,P430502,260
1522,P380097,45
1523,P373500,71
1524,P433142,241
1525,P433129,263
1526,P020084,125
1527,P342394,65
1528,P412013,163
1529,P430082,362
1530,P373599,116
1531,P372279,124.3
1532,P460245,383
1533,P432835,128
1534,P130218,214
1535,P374133,381
1536,P402018,159
1537,P430204,234.625
1538,P312008,-76.15
1539,P452049,138.8
1540,P370345,227
1541,P472098,51.85
1542,P070125,-57.5
1543,P390326,60
1544,P400322,106
1545,P020014,189
1546,P374156,255
1547,P110043,34
1548,P090089,-41.63039568
